code,description
12001002016,Github
12001003045,Python
12001003086,PyTorch
12001002018,Git
12001001007,Linux
12001003045,Python
12001006027,XML
12001001020,Shell
12001002017,Jenkins
12001003009,C#
12001003010,C++
12001005023,AWS
12001002017,Jenkins
12001003045,Python
12001003097,LLM
12001002018,Git
12001003045,Python
12001006013,HTML
12001006017,JavaScript
12001006030,jQuery
12001006032,CSS
12001006043,Django
12001003045,Python
12001003045,Python
12001001007,Linux
12001002016,Github
12001003045,Python
12001002016,Github
12001002018,Git
12001006043,Django
12001006032,CSS
12001006017,JavaScript
12001006013,HTML
12001005023,AWS
12001004039,PostgreSQL
12001004031,MS SQL
12001003100,Microsoft Azure
12001003045,Python
12001001007,Linux
12001002016,Github
12001002018,Git
12001003045,Python
12001004032,MySQL
12001005023,AWS
12001006043,Django
12001006013,HTML
12001006032,CSS
12001003045,Python
12001006043,Django
12001003045,Python
12001004031,MS SQL
12001008003,Excel
12001002016,Github
12001003045,Python
12001004031,MS SQL
12001003093,Cloud
12001003045,Python
12001003025,Java
12001004038,PL/SQL
12001001007,Linux
12001002018,Git
12001003045,Python
12001004039,PostgreSQL
12001005023,AWS
12001006017,JavaScript
12001006043,Django
12001003045,Python
12001004031,MS SQL
12001005023,AWS
12001003045,Python
12001003095,SaaS
12001004039,PostgreSQL
12001001007,Linux
12001003045,Python
12001006017,JavaScript
12001003045,Python
12001002018,Git
12001003078,R
12001003045,Python
12001003045,Python
12001003045,Python
12001003045,Python
12001003025,Java
12001011001,Tableau
12001004032,MySQL
12001006014,J2EE
12001005023,AWS
12001004039,PostgreSQL
12001003041,PHP
12001003045,Python
12001004032,MySQL
12001006013,HTML
12001006017,JavaScript
12001006032,CSS
12001006043,Django
12001004039,PostgreSQL
12001006030,jQuery
12001006038,VueJS
12001002018,Git
12001006041,D3.js
12001011012,Power BI​
12001003045,Python
12001001007,Linux
12001002012,Systems Analysis
12001002013,Systems Analyst
12001002016,Github
12001002018,Git
12001003045,Python
12001004041,RDBMS
12001005022,hadoop
12001003045,Python
12001005023,AWS
12001002018,Git
12001004039,PostgreSQL
12001001007,Linux
12001002018,Git
12001003045,Python
12001006013,HTML
12001006017,JavaScript
12001006030,jQuery
12001006032,CSS
12001006043,Django
12001001007,Linux
12001002018,Git
12001003045,Python
12001004032,MySQL
12001004039,PostgreSQL
12001003045,Python
12001003045,Python
12001006013,HTML
12001006017,JavaScript
12001006032,CSS
12001003045,Python
12001004031,MS SQL
12001004032,MySQL
12001006017,JavaScript
12001006030,jQuery
12001003097,LLM
12001003088,NLP
12002001045,Unity
12001003087,tensorflow
12001003086,PyTorch
12001003099,Prompt
12001003045,Python
12001003010,C++
12001003045,Python
12001002018,Git
12001006043,Django
12001003045,Python
12001003045,Python
12001004031,MS SQL
12001004032,MySQL
12001003045,Python
12001003045,Python
12001003080,Go
12001006034,Node.js
12001001007,Linux
12001002016,Github
12001002018,Git
12001003095,SaaS
12001004032,MySQL
12001006038,VueJS
12001006037,AngularJS
12001001007,Linux
12001003025,Java
12001003045,Python
12001005023,AWS
12001003045,Python
12001003045,Python
12001002018,Git
12001003045,Python
12001003045,Python
12001004039,PostgreSQL
12001002005,OOP
12001002018,Git
12001003045,Python
12001003078,R
12001004018,ETL
12001003045,Python
12001001007,Linux
12001002018,Git
12001003045,Python
12001004039,PostgreSQL
12001003045,Python
12001003041,PHP
12001003099,Prompt
12001003088,NLP
12001003097,LLM
12001003025,Java
12001003045,Python
12001003045,Python
12001003045,Python
12001008003,Excel
12001008011,Outlook
12001008012,PowerPoint
12001008016,Word
12001010002,中文打字20~50
12001006034,Node.js
12001003045,Python
12001001007,Linux
12001004032,MySQL
12001006017,JavaScript
12001001020,Shell
12001003045,Python
12001004018,ETL
12001002016,Github
12001003045,Python
12001004039,PostgreSQL
12001006043,Django
12001003045,Python
12001003010,C++
12001003045,Python
12001003045,Python
12001001007,Linux
12001003045,Python
12001003097,LLM
12001003088,NLP
12001003099,Prompt
12001006032,CSS
12001001007,Linux
12001003045,Python
12001005023,AWS
12001003009,C#
12001004039,PostgreSQL
12001006013,HTML
12001006017,JavaScript
12001006032,CSS
12001006036,ReactJS
12001006037,AngularJS
12001006038,VueJS
12001006044,Angular
12001003088,NLP
12001003097,LLM
12001003045,Python
12001003041,PHP
12001006036,ReactJS
12001006038,VueJS
12001006013,HTML
12001004032,MySQL
12001006032,CSS
12001002016,Github
12001003045,Python
12001004009,Data Modeling
12001004032,MySQL
12001004038,PL/SQL
12001006034,Node.js
12001003045,Python
12001004039,PostgreSQL
12001005023,AWS
12001003045,Python
12001004039,PostgreSQL
12001004038,PL/SQL
12001003025,Java
12001003025,Java
12001003041,PHP
12001003045,Python
12001001007,Linux
12001002014,UML
12001002016,Github
12001002018,Git
12001003045,Python
12001004018,ETL
12001004032,MySQL
12001004039,PostgreSQL
12001004041,RDBMS
12001005023,AWS
12001006043,Django
12001003045,Python
12001003045,Python
12001004035,Oracle
12001004032,MySQL
12001002018,Git
12001003045,Python
12001002016,Github
12001003045,Python
12001003045,Python
12001002018,Git
12001003097,LLM
12001004032,MySQL
12001004039,PostgreSQL
12001004041,RDBMS
12001003093,Cloud
12001001007,Linux
12001003045,Python
12001003086,PyTorch
12001003087,tensorflow
12001004032,MySQL
12001004039,PostgreSQL
12001006043,Django
12001003045,Python
12001008036,Scrum
12001005023,AWS
12001003025,Java
12001003045,Python
12001003080,Go
12001001007,Linux
12001002018,Git
12001003045,Python
12001004039,PostgreSQL
12001006017,JavaScript
12001006043,Django
12001003045,Python
12001008003,Excel
12001008011,Outlook
12001008012,PowerPoint
12001008016,Word
12001010002,中文打字20~50
12001001007,Linux
12001002018,Git
12001003045,Python
12001003045,Python
12001002018,Git
12001001007,Linux
12001002018,Git
12001003045,Python
12001004039,PostgreSQL
12001003045,Python
12001002018,Git
12001003025,Java
12001003053,Spring
12001007067,Socket
12001001007,Linux
12001003045,Python
12001005023,AWS
12001006013,HTML
12001006017,JavaScript
12001006032,CSS
12001003045,Python
12001004031,MS SQL
12001004032,MySQL
12001004039,PostgreSQL
12001005022,hadoop
12001003045,Python
12001004018,ETL
12001003045,Python
12001002018,Git
12001003045,Python
12001006034,Node.js
