_id,job_name
8uzq4,AI工程師Python
8vsve,Backend Engineer 後端工程師
8nwo9,Python Automation Engineer (Devops)
8v203,Python Engineer
6yfn5,Software Engineer(Python)
8n88p,Python Automation Engineer
8v2da,python工程師
8nmw0,Python 後端工程師
8ik9c,Python 後端開發工程師
8q64j,Python 全端工程師
77phe,Python工程師
6z1pf,投資數據(python) 工讀生(每週最少到職2~3天)
6vazb,Python後端工程師
8w0w8,Senior Cloud Data Engineer (GCP/Python)
7ize1,[台北] 資深後端工程師 Senior Backend Engineer (Python/Django)
87ua3,Python開發工程師
8n0gu,Senior Backend Engineer - Python
8w1fo,Python-自動化工程師(PG)
8tlno,Python 後端軟體工程師
8r9w4,Data Analyst(Python/R)
695ve,Python工程師
77ymq,Data Engineer | Python爬蟲工程師
8vh1r,SWRD_Backend Engineer (Python/Java) 後端工程師
7wceb,後端工程師 Python
81xrd,Data Engineer | Python爬蟲工程師
7x79r,Python 軟體工程師
8n0gm,Junior Backend Engineer - Python
8i1od,軟體工程師 - Python
7olfm,後端工程師（Python）
8ve8h,Python 後端開發工程師 (台中)
8ca4p,Python 全端工程師
7lngy,Python web 工程師
8qrka,量化交易員
8vwhj,網路管理工程師（需外勤）
8qehr,AI科學部- Python 自動化工程師
8u7tu,Python 後端工程師｜  Python Backend Engineer (生成式 AI 平台)
8he09,Python工程師
839w9,python工程師
79dy9,資深Python 後端工程師｜ Senior Python Backend Engineer
7ebh4,Python 後端工程師
8urkt,數據工程師(Data Engineer) - Python/ETL/MongoDB
87e35,Python 開發工程師(台北)
7csnw,P7-Python資料工程師
8vznu,Python工程師｜知名百大金融機構APP專案_台北
8pu3e,Python 工程師
8osoz,P10-Python應用工程師
8i1yr,"Senior Software Engineer 軟體工程師(Python, Java)"
6det4,Senior Data Scientist 資料科學家(Python)
8orec,統一超商資深 Python後端軟體工程師(uniopen Senior Backend Engineer)
8i0ux,I105 Python Web工程師(可遠端工作)
7m6kb,軟體工程師 Software Engineer (Python Developer)｜保障14個月＋獎金
8o1vp,"【北士科】Software Engineer, Legal Automation & AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師"
5pxb7,Python 程式設計語言講師 - 基隆、大台北地區
6vdrl,Python 後端工程師
86b3c,(遠距兼職可)台指期程式交易策略軟體工程師 (熟悉Multuchats與Python)
8srbt,軟體開發工程師｜資安服務系統開發｜ Node.js /JavaScript/ Python
8thk7,數據工程師(Data Engineer) - Python/API開發/ETL
8thmj,雲端工程師(Cloud Engineer) - AWS/Python/DevOps
8tfqn,Proptech/Fintech Python後端工程師/資料科學家
8w28h,[研發處]Backend Developer - Junior QA(Python/Django)
6s64x,【資訊】Backend 後端開發工程師 ( Python / Java / C# .NET)
8vo1v,JY-【理工新鮮人請進】美商顯卡 Software Testing Engineer|測試工程師，月薪4萬(Python|一年一簽)
8vo9k,Python Engineer | 影像品質(Image Quality)  | 工作地點:台北市
8u9za,Python工程師(IoT物聯網應用)
8uruw,【外商】Risk Operation Lead
8n23l,【金融商品部】資訊系統人員
8i9lj,Python Engineer
8vtso,LLM / Python 開發工程師 Large Language Model / Python Engineer
8ul7d,EL-【美商半導體公司 Software Application/ Testing Engineer】歡迎新鮮人/英文中等/南港/Python capability
7wutt,I186 Python後端工程師(可遠端工作)
8ntrt,I137  Python全端工程師(可遠端工作)
8o1vj,"【北士科】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師"
77in7,Sr. PYTHON DEVELOPER 後端工程師(全遠端)
8kzwi,Python網頁工程師
863mi,AI研發工程師
8vkm5,B-Python工程師
8bj3i,I112 Java/PHP/Python系統開發工程師(可遠端工作)
8cdue,【Remote WFH 遠端】後端工程師 (Backend Engineer)（Python）
8qhwv,【研發部】Python  應用工程師
87w78,"軟體開發工程師 Python CMS Engineer(數數發中心, DDT)_I00014641"
8vgmu,策略交易_量化交易工程師(Python/FastAPI/交易應用)
8w43e,Senior Data Analyst 資深數據分析師(Customer-Centric Planning)
8v85t,Python後端開發工程師
8va6s,兼職 AI全端實習｜4天完成MVP｜Python + Docker +金流串接｜可放GitHub＋推薦信
8u1ur,【金融業】Python開發工程師
8vdth,Python後端工程師 Junior【全職】
8it0d,【AI虛擬人】圖像型人工智慧生成應用工程師Generative AI Engineer
8kgx8,EIS | (資深)資料/Python工程師
80bmw,Python 資深工程師
8j3s8,"R0006780: Cloud Engineer (Golang/Python, Backend Focus) 雲端開發工程師"
7izdv,[台北/高雄] 後端工程師 Backend Engineer (Python/Django)
8us6f,兼職-全端開發工程師(台北)
7of3d,AI 演算法工程師
8pmnx,ChromeOS TPM (工作地點：Taipei 101 )
8er93,Digital Twin Engineer
8flaz,雲端 / 維運工程師
8w3s4,資訊工程師（MIS-系統工程師）
7pitn,生物資訊工程師【大江基因_爭奪世界盃，邀你同行】
8v6q8,Promotion Analysis (6-month contract)
8tgvu,(遠距兼職可)API系統軟體工程師(懂Python與伺服器架設尤佳)
8th5z,【上緯集團】機器人新事業_控制軟體工程師
89a38,Python 後端軟體工程師
8s79k,Senior Back End Developer_F81R
8l8j0,Video Streaming Engineer 影音串流工程師
8qzgw,APR 工程師（*此職缺非研發替代役*）
8prbc,Automation Test Developer 自動化測試工程師_VSBU
8w4lt,NB軟體工程師_14953
8w2v7,vibe coder/AI agent 工程師
8s6er,【派駐聯發科/新竹/內湖】數據分析平台維運工程師
89i4t,【台北總部】eHRD事業群_產品發展處_Ai工程師
8ulmp,資深後端工程師 / DevOps 工程師（具基礎架構與維運經驗）
8vhlk,後端開發工程師 (Python)_產品資安新事業發展部(台北)
86cbh,AI技術研發與內容生成師 (Gen AI Engineer/Artist)
8vzq3,Digital Twin工程師、資料工程師、後端工程師_14874
8p1gz,【年度擴編】Python 後端工程師｜保障14個月＋獎金・軟體開發部
8vzvx,風險_個金風險規劃分析人員
8vn0j,【New Rocker Program】2026聲力軍實習計畫: AI Assistant Engineer (Audio Software)
8dhvi,AI系統開發工程師
8vsla,Artificial Intelligence  Software Engineer
8alde,數位轉型專案經理(總公司)
8vsus,【產品開發部】後端工程師 Backend Engineer
8juxi,AI Engineer
6xtfl,Python 後端開發工程師 (台北)
8vglt,【外貿協會】爬蟲工程師(市場情報中心/智慧洞察組) #238
86auy,資料科學/深度學習工程師 （Data Scientist / Deep Learning Engineer）
8uzes,Forward Deployed Engineer
8ummw,【凱基證券/衍生性商品部】量化交易員
7tib9,【財務暨營運儲備幹部】｜中階主管養成
66cft,程式設計師(新金融商品部)
8w54s,專案工程師_14913
3o5cn,(大數據)零售研究員/資深研究員【擴編】
7evi2,EIS | 後端開發工程師（Java為主｜Python為輔｜願意學習者優先）
8noqu,衍商_交易系統開發工程師
4ftgq,資料工程師
8jz7u,數位資訊中心AI資訊工程師
8uhgu,【豐藝集團 AI 子公司】Software QC Engineer 軟體品質控管工程師
8b3wj,F0128 -Software Development Engineer in Test (Networking)
8w0h7,DevOps 工程師
8vupu,量化分析_副研究員
8bqzx,程式腳本維運工程師（專業服務部V組）
8w03q,資深運維主管
6vhj8,系統開發程式設計師(R4)
8mp5t,Camera驗證工程師
7hqn3,Software Automation Engineer_RSBU SWRD
81za3,資料工程師
8sbho,"資料科學家Data Scientist | 生物資訊Bioinformatics, 系統生物 System Biology"
8fm9f,DevOps / SDET（End-to-End 測試）工程師
4u9yz,資料探勘工程師 / Data Mining Engineer
8syzj,風險管理策略規劃資深專員_內容
8rbbl,資安分析師（Security Analyst）
8vw61,AI 研發助理／實習生（無經驗可）
868l6,Robot Sensor Design Engineer
8viql,資料系統與界面開發工程師(計畫約聘/駐點氣象署)(PS120)
7tkwm,大型知識探索工程師（LLM Discovery Engineer）
7s21z,客戶成功經理 ｜Customer Success Manager
7s7c8,AI營運管理主管 CAIO （Chief AI Operation Officer）
79idb,"Machine Learning Scientist, LLM (intern/graduate) - Taipei"
8jxww,"[台北] Digital Twin Engineer, Omniverse"
7gqav,〔個金〕異常監控分析專員
8q79p,軟體測試工程師 (Windows-based and Cloud-based software applications)
8v00p,顧問類(台北)-顧問/資深顧問 (金融保險業數據分析/風險模型)
8rf0p,後端工程師 (薪資:6.5萬~9.5萬)(員工配股、薪資優)【台北內湖】
8vruy,RD21967 MLOps/AIOps SRE - Software Engineer(Enterprise Networking)
8hphc,(SoC Team) 數位IC設計工程師 (Middle end Engineer) （*此職缺非研發替代役*）
7uazx,FAE工程師（台北）
7u4cw,產經實習助理、投資助理
8rjfn,自動化軟體研發工程師/技術課長/技術主任_14455
72rt2,AI數據工程師.
8phod,【外貿協會】數位科技中心-軟體工程師  _ OCS_830
7rqvi,KL-【外商半導體大廠】-軟體測試工程師Testing Engineer(歡迎資訊科系畢業生!/月薪40K)
87pey,風險管理處-市場風險數據分析人員
8vg3d,個金_數據平台規劃人員
8udp2,人形機器人運動學/控制開發工程師 (Humanoid Robotics Kinematics & Control Engineer)
8v0lt,DevOps 運維工程師 DevOps Engineer
8txvy,系統開發工程師_14683
8kg3e,科技部_軟體工程師 Software Engineer (內部系統)
7sldi,(1666)Switch/Router網通產品軟體測試工程師-南港
8edl5,Image Validation Engineer
7bc53,OpenBMC Engineer
8uxe9,TaiwanPlus 數位分析室-數位分析研究員
7tkdx,Business Operation Internship 客戶關係經營實習生
8vbn8,【計畫聘用人員】臺大醫院資料科學研究團隊誠徵統計人員
5cdpt,資料分析師
8q42a,AI Architect / AI 架構師
8s9e1,前端工程師
8vu3g,資深系統服務 QA 工程師 (Senior System Services QA Engineer)
7nvpv,MITxTaipei Tech 機器人軟硬體工程師(初~中階)
7dpwf,資料工程師 Data Engineer
6k2x6,資料分析師 (Data Analyst)
86nbr,Data Engineer【開放年後報到】
8vsph,【凱基證券/投顧投資顧問部】量化策略研究員
8tw56,AI Engineering Intern
8vyto,自動化工程師
6ttpk,測試工程師/資深測試工程師 Software Development Engineer in Test(SDET)
8dumw,【2026年研發替代役】Machine Learning and Computer Vision Engineer (機器學習與電腦視覺工程師)
8v5zm,【產品開發部】資深全端工程師 Senior Fullstack Engineer
8vz35,TA4825 AI 資深工程師
7rfk2,行政專員(外商金融)
8o4hy,Embedded Cybersecurity Engineer
73nm5,【小樹購】資深後端工程師 Senior Backend Engineer
8vq0s,年後職缺搶先看｜【外貿協會】市場情報中心－專案經理＿OCS_830
440va,後端工程師 (Web-based Application)
8vuq1,Cocos Creator 遊戲開發工程師
8scdw,AI影音生成工程師
8qvjh,Python後端軟體工程師【新創工程處】- 台北辦公室(靠近南京復興5號出口)
80g1d,資料分析師 Data Analyst-助理
8ripk,應用工程師 (AI Agent)
5x6rx,軟韌體高級工程師
8ktwx,全端 App 開發工程師（Android / iOS / Server）
8vxe2,AD31974 軟體開發工程師
6l4ie,QA Automation Engineer
8nhbg,[Corporate] Senior IT Engineer
7sx7j,Senior Backend Engineer 資深後端工程師
8vdhm,【知名保險公司】SRE/DevOps工程師 (系統管理)
8w00g,「建置臺灣英語力語料庫與共同參考架構暨教材編輯輔助系統」計畫數據分析師
7f52h,資料科學家(Data Scientist)-台北(Taipei)
8o10x,Platform Engineer_RSBU SWRD
8u2py,執行長特助(AI專案管理)(執行長室)
8nnsu,Software Developer - 09:00am~18:00pm
8n0ae,系統維運工程師(應用科)
71ewl,AI應用開發工程師(上班地點: 台北、苗栗)
8ix5r,AI (LLM) Software Engineer
7fbv6,AI工程師(台北內湖)
8w4ml,AI算法/雲端運算平台開發工程師_14943
86aui,機器人控制軟體工程師 (Robot Control Software Engineer)
8nh6s,Garena - System Operations Engineer 遊戲系統維運工程師
8u9yr,Sr. Software Project Manager
81z9y,資料科學家 Data Scientist
6gyzz,全端工程師
7b3z5,【科技與轉型服務】數位轉型服務-AI與數據分析資深顧問
8o4g1,Sr. Backend Engineer - Product security platform
8t9ak,LLM 應用工程師 / LLM Application Engineer
8vwj9,【北士科】SDET 測試開發工程師
8ry0k,軟韌體自動化測試開發工程師_14442
80zs2,技術支援工程師
7xem0,【STAFF】ERP/PLM系統流程規劃設計師 (台北)
70c5w,數據科技部-數據分析師
7015h,AI/機器學習研發工程師｜ AI/ML Engineer
7hf8u,軟體工程師 Software Engineer
8vx6h,【Ubiik Internship Program】【台北】軟體測試實習生 Software Test Engineer (Intern)
8pth3,D01-自動化工程師(AE)_旅遊科技部_技術研發組
8vykp,SSD Firmware Engineer(Taipei/Hsinchu)
886zg,氣象研究助理(計畫約聘/駐點氣象署)
8tfut,數位轉型數據架構師
8vwuw,AI工程師-F650
8jxgl,"Machine Learning Engineer, Speech/ASR/TTS/Music Generation"
7nlpu,Machine Learning Engineer 機器學習工程師
7bdre,【研究發展處】大數據資料處理工程師
8ax0e,(ASIC Team) 數位IC設計工程師（*此職缺非研發替代役*）
827of,後端工程師
8vwz4,【台北】AI工程師【OS】
8tj3r,(2026 New College Grad) Digital Design Engineer_(限即將畢業、剛畢業或工作經驗一年以下者)
8ctwm,Technical Project Manager / 技術專案經理
82fm4,韌體工程師（台北）
83n03,Machine Learning Engineer (NLP) 機器學習工程師（自然語言處理）(23090101)
7adje,"軟體研發工程師 (Backend Engineer, PHP)"
8d9q5,Senior Technical Artist / Graphics Programmer
87vf0,元大期貨-交易員(自營部)
8tlc9, AI 演算法工程師
8qiki,自動化測試軟體工程師_14360
8khkq,"【吉隆坡】數據工程師Data Engineer — ""Data Infrastructure Architect"""
8s9ep,AI工程師
8vhbn,Database Administrator
8vq2s,年後職缺搶先看｜【外貿協會】市場情報中心－AI Agent 工程師（AI Agent Engineer）｜OCS_830
76wdy,約聘資料分析師(駐點食藥署)
889qn,數據科技部-資料工程師 / 數據服務架構師
8qtc6,專案開發部_DevOps Engineer
5b9pe,Radar DSP Algorithm Development Engineer
7zniz,【RECCESSARY】綠電助理分析師
8vtw0,軟體工程師_14886
8vfap,後端工程師 (AI產品應用)
8npsb,Machine Learning Engineer - Robot Manipulation 機器學習工程師 - 機器人操控
8dun1,Machine Learning and Signal Processing Engineer (機器學習與訊號處理工程師)
8ttxa,"Lead Associate (經理暨資深顧問), Rewards Data Intelligence, Taiwan"
8o98o,統一超商Python後端軟體工程師(uniopen Junior Backend Engineer)
86m48,Embedded Software Engineer
8qg50,[獨立接案]網站流量優化AI工程師
85p23,(2026 New College Grad) Analog Design Engineer(Power)_(限即將畢業、剛畢業或工作經驗一年以下者)
8q7iu,AI Cloud Operation Manager
8w0v6,QA工程師｜雲端技術專案經驗_台北
6purq,機器學習與人工智慧研發工程師
8jf4u,中華經濟研究院第一研究所誠徵專任計畫助理與計畫輔佐研究員1～2名（國內外經濟、財金、統計、數學等相關學系研究所畢業）
8gizh,資深 DevOps 工程師 Senior DevOps Engineer
8sjrz,(桃園)後端工程師｜區塊鏈工具開發 & 自動化腳本方向
8bhd6,【AI虛擬人】(資深)全端工程師 (Senior) Full Stack Developer
7gsl1,Software Engineer — System Software & Beyond
8uhqz,【豐藝集團 AI 子公司】Regulatory Affairs Specialist 醫療法規事務專員
7dgf0,Software Network Engineer 軟體網路工程師
3omui,"Software Engineer (C/C++, Linux) 軟體開發工程師 - Taipei (Req: 18832)"
7zvdt,系統監控 DevOps 工程師
7r3xj,AI工程師
8uyor,環控 弱電 智慧居家整合工程師
