_id,salaryMin,salaryMax
7ize1,90000,150000
8n0gu,84615,100000
7wceb,43000,51000
7x79r,40000,60000
8n0gm,53846,69230
8i1od,50000,70000
8ca4p,40000,55000
8qrka,76923,192307
8vwhj,50000,70000
839w9,45000,70000
7ebh4,35000,50000
7csnw,35000,45000
8osoz,40000,55000
8i1yr,76923,123076
8i0ux,36000,60000
6vdrl,60000,100000
8vo1v,36000,40000
8n23l,50000,70000
7wutt,36000,53000
863mi,55000,75000
8bj3i,36000,53000
8u1ur,45000,80000
8vdth,38000,60000
80bmw,55000,75000
7izdv,50000,80000
8er93,61538,115384
8flaz,36000,70000
8w4lt,37000,65000
8w2v7,32000,50000
8s6er,55000,60000
89i4t,38000,48000
8p1gz,40000,60000
7tib9,46153,53846
8w54s,34000,60000
8jz7u,48000,60000
81za3,42307,92307
4u9yz,40000,90000
8vw61,30000,40000
7s7c8,60000,100000
79idb,40000,100000
8q79p,46153,76923
8rf0p,65000,95000
7uazx,39000,48000
8rjfn,32000,62000
72rt2,40000,60000
7rqvi,40000,40000
8txvy,32000,62000
6k2x6,39000,50000
86nbr,76923,138461
8vyto,50000,65000
8vq0s,44990,44990
8vuq1,69230,130769
8ktwx,40000,100000
6l4ie,72307,130769
8w00g,51464,51464
8n0ae,35000,50000
71ewl,48000,58000
8ix5r,76923,115384
8u9yr,138461,184615
81z9y,42307,92307
6gyzz,55000,90000
8ry0k,32000,62000
7xem0,35000,60000
7bdre,35000,55000
8ctwm,40000,100000
8d9q5,70000,90000
8qiki,32000,62000
8dun1,80000,200000
8o98o,50000,120000
8jf4u,38200,43900
7gsl1,69230,115384
8oeu7,40000,50000
8qgpd,38000,42000
8vuuq,55000,70000
8sf6z,76923,115384
8mvrc,42000,80000
8teog,69230,100000
6sfcs,76923,138461
6liq7,61538,130769
8cx69,115384,153846
82l4y,38000,50000
87c1w,38000,60000
8v1yi,80000,120000
8s6bz,41400,50000
8uacf,36175,50000
8rmhd,76923,100000
7wutg,36000,53000
8fu73,40000,60000
8qb1r,32000,62000
8ste0,61538,92307
7ez67,35000,70000
6f8mk,40000,80000
86poa,40000,70000
8q8zl,34000,77000
8suko,40000,50000
7mgua,38000,50000
8qlik,153846,230769
8qlbk,123076,192307
8gigx,153846,307692
7fxhq,33076,53846
8vfb8,70000,90000
8vlw8,42000,65000
8cxgu,115384,153846
73510,53846,100000
75r27,35000,50000
8cnbo,38000,50000
8uzzn,72307,130769
7k2f8,62162,154348
8qxu5,70000,100000
88qc7,60000,100000
8j76o,45000,69000
7t18k,70000,138461
8ou40,70000,100000
83kqb,40000,60000
7pmc6,40000,50000
878rt,45000,150000
85vpd,76923,103846
7g6ez,41500,50000
8r3i9,38000,60000
8o11z,107692,230769
8vnfb,123076,169230
7segs,115384,230769
8k3ph,60000,100000
8r3d2,40000,70000
8lqxs,123076,169230
8n468,46153,92307
8d4m7,69230,123076
7rkad,76923,138461
8at8h,70000,95000
8sozh,32000,62000
87usz,50000,100000
770xt,52000,70000
8cxkj,123076,184615
8v7ta,80000,150000
8vgna,70000,90000
8ttkb,40000,100000
8vzpp,60000,100000
8hssd,80000,150000
8vu1g,70000,120000
7yrwi,45000,60000
5tut4,76923,169230
8soyh,35000,40000
7d37i,35000,50000
8vhcx,32000,62000
8sowq,123076,169230
7osnc,36000,60000
8p8by,40000,60000
8vrvv,40000,48000
7nion,50000,80000
7y08y,57692,84615
8pwlr,61538,115384
8cx70,92307,192307
5iq8o,35000,50000
732iy,54977,75000
7ddsp,60000,90000
8vqv5,46153,92307
8tft1,90000,130000
7ez66,35000,70000
7yi6p,38000,45000
4ha8t,45000,70000
8vet3,38000,40000
8cxit,123076,184615
8squ9,84615,153846
8mqp8,85000,100000
69bgn,38000,60000
8cy5z,123076,184615
82lqy,40000,80000
81sdj,76923,115384
7i1gn,38461,100000
7etdk,80000,153846
79xx3,32000,38000
867bq,38000,40000
86tlg,65000,75000
8tusx,80000,150000
8b41a,30000,60000
8pd3u,61538,153846
8bqeg,37500,55000
7mt1j,30000,55000
6tttg,35000,60000
8rw11,30000,51000
8pqnj,45000,65000
7iwi8,38461,46153
8rvrz,65000,90000
8usfi,60000,85000
8g8q3,57692,92307
8vl08,30000,80000
8v1uh,50000,55000
8c5eb,40000,50000
8c61l,40000,55000
8sezr,76923,107692
8iht9,50000,70000
8v8t9,53846,92307
7faqq,55384,96153
8ojcg,61538,76923
6ttt5,40000,60000
8m4yx,50000,80000
8uyom,70000,110000
7jvuw,40000,80000
8v9e6,53846,92307
8s7fp,32000,62000
8b41k,28590,40000
7i34x,60000,85000
8txe8,40000,60000
8ja4h,61538,115384
8p2aa,50000,120000
8p2a1,50000,120000
78pf4,40000,65000
8t66i,50000,70000
8qvzq,60000,120000
8ekil,55000,75000
8v4qb,70000,100000
8w6ho,35000,45000
1yf7o,35000,75000
8uy60,45000,85000
8uel7,107692,169230
8ugrj,40000,100000
8utn0,50000,50000
8k1qj,38000,50000
8vqy2,107692,169230
8uah9,65000,75000
8uj00,61538,115384
8t672,50000,70000
6vt43,61538,92307
8fvv9,60000,90000
7mnu3,69230,130769
6k5nz,62162,111485
8utt4,60000,60000
8p29j,50000,120000
8s83n,45526,82709
49ko5,62162,89611
8vqzm,107692,169230
8qpdx,45000,70000
4qal4,40000,60000
8uyqm,38000,60000
8k2no,40000,100000
7lmd9,36000,43000
7eaed,33600,45000
6cpmh,34000,40000
8p29x,50000,120000
8u985,40000,100000
8t0i5,46153,115384
8n486,50000,80000
8lrxp,55000,95000
8umyd,115384,153846
8swgp,46153,115384
893g3,40000,50000
8ted6,50000,60000
8jygz,50000,70000
8w4ol,65000,65000
6y3b7,38000,55000
8rsrb,40000,50000
8ulxx,35000,55000
5bdsg,61538,138461
8r4ks,80000,88000
80tjn,50000,70000
7c52x,35000,60000
7p7cw,50000,90000
8ezgf,58000,65000
8o0uc,36000,42000
8s6bv,60000,75000
8tj2k,69230,107692
601f8,40000,80000
8o599,40000,60000
81y7i,35000,65000
8va6q,35000,42000
726he,40000,65000
7m03d,35000,100000
8vkqx,48000,52000
87mpc,35000,43000
6e6r8,100000,150000
6hjyj,28590,50000
859d9,32000,40000
8msuk,35000,50000
8cy3h,92307,153846
6u1rz,40000,55000
8n4az,40000,80000
8py5c,36000,40000
8sz8e,75000,120000
6uwpa,35000,100000
72r9v,44125,65000
65wsl,50000,80000
