_id,job_name,category
8uzq4,AI工程師Python,AI Engineer / Researcher
8vsve,Backend Engineer 後端工程師,Backend Engineer
8nwo9,Python Automation Engineer (Devops),DevOps / SRE / Cloud Engineer
8v203,Python Engineer,General Software Engineer
6yfn5,Software Engineer(Python),General Software Engineer
8n88p,Python Automation Engineer,QA / Automation Engineer
8v2da,python工程師,General Software Engineer
8nmw0,Python 後端工程師,Backend Engineer
8ik9c,Python 後端開發工程師,Backend Engineer
8q64j,Python 全端工程師,Fullstack Engineer
77phe,Python工程師,General Software Engineer
6z1pf,投資數據(python) 工讀生(每週最少到職2~3天),General Software Engineer
6vazb,Python後端工程師,Backend Engineer
8w0w8,Senior Cloud Data Engineer (GCP/Python),Data Engineer
7ize1,[台北] 資深後端工程師 Senior Backend Engineer (Python/Django),Backend Engineer
87ua3,Python開發工程師,General Software Engineer
8n0gu,Senior Backend Engineer - Python,Backend Engineer
8w1fo,Python-自動化工程師(PG),QA / Automation Engineer
8tlno,Python 後端軟體工程師,Backend Engineer
8r9w4,Data Analyst(Python/R),Data Scientist / Analyst
695ve,Python工程師,General Software Engineer
77ymq,Data Engineer | Python爬蟲工程師,Data Engineer
8vh1r,SWRD_Backend Engineer (Python/Java) 後端工程師,Backend Engineer
7wceb,後端工程師 Python,Backend Engineer
81xrd,Data Engineer | Python爬蟲工程師,Data Engineer
7x79r,Python 軟體工程師,General Software Engineer
8n0gm,Junior Backend Engineer - Python,Backend Engineer
8i1od,軟體工程師 - Python,General Software Engineer
7olfm,後端工程師（Python）,Backend Engineer
8ve8h,Python 後端開發工程師 (台中),Backend Engineer
8ca4p,Python 全端工程師,Fullstack Engineer
7lngy,Python web 工程師,Frontend Engineer
8qrka,量化交易員,Others
8vwhj,網路管理工程師（需外勤）,General Software Engineer
8qehr,AI科學部- Python 自動化工程師,AI Engineer / Researcher
8u7tu,Python 後端工程師｜  Python Backend Engineer (生成式 AI 平台),AI Engineer / Researcher
8he09,Python工程師,General Software Engineer
839w9,python工程師,General Software Engineer
79dy9,資深Python 後端工程師｜ Senior Python Backend Engineer,Backend Engineer
7ebh4,Python 後端工程師,Backend Engineer
8urkt,數據工程師(Data Engineer) - Python/ETL/MongoDB,Data Engineer
87e35,Python 開發工程師(台北),General Software Engineer
7csnw,P7-Python資料工程師,Data Engineer
8vznu,Python工程師｜知名百大金融機構APP專案_台北,General Software Engineer
8pu3e,Python 工程師,General Software Engineer
8osoz,P10-Python應用工程師,General Software Engineer
8i1yr,"Senior Software Engineer 軟體工程師(Python, Java)",Backend Engineer
6det4,Senior Data Scientist 資料科學家(Python),Data Scientist / Analyst
8orec,統一超商資深 Python後端軟體工程師(uniopen Senior Backend Engineer),Backend Engineer
8i0ux,I105 Python Web工程師(可遠端工作),Frontend Engineer
7m6kb,軟體工程師 Software Engineer (Python Developer)｜保障14個月＋獎金,General Software Engineer
8o1vp,"【北士科】Software Engineer, Legal Automation & AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師",AI Engineer / Researcher
5pxb7,Python 程式設計語言講師 - 基隆、大台北地區,General Software Engineer
6vdrl,Python 後端工程師,Backend Engineer
86b3c,(遠距兼職可)台指期程式交易策略軟體工程師 (熟悉Multuchats與Python),General Software Engineer
8srbt,軟體開發工程師｜資安服務系統開發｜ Node.js /JavaScript/ Python,Frontend Engineer
8thk7,數據工程師(Data Engineer) - Python/API開發/ETL,Data Engineer
8thmj,雲端工程師(Cloud Engineer) - AWS/Python/DevOps,DevOps / SRE / Cloud Engineer
8tfqn,Proptech/Fintech Python後端工程師/資料科學家,Data Scientist / Analyst
8w28h,[研發處]Backend Developer - Junior QA(Python/Django),QA / Automation Engineer
6s64x,【資訊】Backend 後端開發工程師 ( Python / Java / C# .NET),Backend Engineer
8vo1v,JY-【理工新鮮人請進】美商顯卡 Software Testing Engineer|測試工程師，月薪4萬(Python|一年一簽),QA / Automation Engineer
8vo9k,Python Engineer | 影像品質(Image Quality)  | 工作地點:台北市,General Software Engineer
8u9za,Python工程師(IoT物聯網應用),General Software Engineer
8uruw,【外商】Risk Operation Lead,Others
8n23l,【金融商品部】資訊系統人員,Others
