_id,salaryMin,salaryMax
8uzq4,45000,9999999
8vsve,0,0
8nwo9,0,0
8v203,0,0
6yfn5,0,0
8n88p,0,0
8nmw0,65000,9999999
8ik9c,0,0
8q64j,50000,9999999
77phe,0,0
6vazb,0,0
8w0w8,0,0
87ua3,0,0
8w1fo,0,0
8tlno,76923,9999999
8r9w4,0,0
695ve,0,0
77ymq,0,0
8vh1r,0,0
81xrd,0,0
7olfm,45000,9999999
8ve8h,0,0
7lngy,0,0
8qehr,0,0
8u7tu,0,0
8he09,0,0
79dy9,0,0
8urkt,0,0
87e35,0,0
8vznu,0,0
8pu3e,0,0
6det4,0,0
8orec,0,0
7m6kb,60000,9999999
8o1vp,0,0
8srbt,0,0
8thk7,0,0
8thmj,0,0
8tfqn,0,0
8w28h,0,0
6s64x,0,0
8vo9k,0,0
8u9za,0,0
8uruw,0,0
8i9lj,0,0
8vtso,0,0
8ul7d,40000,9999999
8ntrt,0,0
8o1vj,0,0
77in7,80000,9999999
8kzwi,0,0
8vkm5,0,0
8cdue,0,0
8qhwv,0,0
87w78,0,0
8vgmu,0,0
8w43e,70000,9999999
8v85t,0,0
8it0d,0,0
8kgx8,0,0
8j3s8,0,0
8us6f,0,0
7of3d,0,0
8pmnx,0,0
8w3s4,0,0
7pitn,0,0
8v6q8,0,0
8th5z,0,0
89a38,0,0
8s79k,0,0
8l8j0,0,0
8qzgw,0,0
8prbc,0,0
8ulmp,100000,9999999
8vhlk,0,0
86cbh,0,0
8vzq3,0,0
8vzvx,0,0
8dhvi,0,0
8vsla,0,0
8alde,0,0
8vsus,61425,9999999
8juxi,0,0
6xtfl,0,0
8vglt,0,0
86auy,0,0
8uzes,0,0
8ummw,0,0
66cft,0,0
3o5cn,0,0
7evi2,0,0
8noqu,0,0
4ftgq,0,0
8uhgu,0,0
8b3wj,0,0
8w0h7,0,0
8vupu,0,0
8bqzx,0,0
8w03q,90000,9999999
6vhj8,0,0
8mp5t,60000,9999999
7hqn3,0,0
8sbho,61538,9999999
8fm9f,0,0
8syzj,0,0
8rbbl,0,0
868l6,0,0
8viql,0,0
7tkwm,0,0
7s21z,0,0
8jxww,0,0
7gqav,0,0
8v00p,0,0
8vruy,0,0
8hphc,0,0
8phod,0,0
87pey,0,0
8vg3d,0,0
8udp2,0,0
8v0lt,80000,9999999
8kg3e,0,0
7sldi,0,0
8edl5,0,0
7bc53,0,0
8uxe9,0,0
8vbn8,36300,9999999
5cdpt,0,0
8q42a,0,0
8vu3g,75000,9999999
7nvpv,0,0
7dpwf,0,0
8vsph,0,0
6ttpk,0,0
8dumw,60000,9999999
8v5zm,80028,9999999
8vz35,0,0
7rfk2,40000,9999999
8o4hy,0,0
73nm5,0,0
440va,0,0
8scdw,0,0
8qvjh,60000,9999999
80g1d,0,0
8ripk,0,0
5x6rx,0,0
8vxe2,35000,9999999
8nhbg,0,0
7sx7j,0,0
8vdhm,0,0
7f52h,0,0
8o10x,0,0
8u2py,0,0
8nnsu,62000,9999999
7fbv6,0,0
8w4ml,0,0
86aui,0,0
8nh6s,0,0
7b3z5,0,0
8o4g1,0,0
8t9ak,0,0
8vwj9,0,0
80zs2,40000,9999999
70c5w,0,0
7015h,0,0
7hf8u,0,0
8pth3,0,0
8vykp,0,0
886zg,0,0
8tfut,60000,9999999
8vwuw,0,0
8jxgl,0,0
7nlpu,0,0
8ax0e,0,0
827of,0,0
8vwz4,0,0
8tj3r,0,0
82fm4,0,0
83n03,0,0
7adje,0,0
87vf0,0,0
8tlc9,0,0
8khkq,0,0
8vhbn,0,0
8vq2s,0,0
76wdy,0,0
889qn,0,0
8qtc6,0,0
5b9pe,0,0
7zniz,0,0
8vtw0,0,0
8vfap,60000,9999999
8npsb,0,0
8ttxa,0,0
86m48,0,0
8qg50,0,0
85p23,0,0
8q7iu,0,0
8w0v6,0,0
6purq,0,0
8gizh,0,0
8sjrz,0,0
8bhd6,0,0
8uhqz,0,0
7dgf0,100000,9999999
3omui,0,0
7zvdt,0,0
7r3xj,0,0
8uyor,43000,9999999
7ufiz,0,0
8sbi5,61538,9999999
8mcsu,0,0
8pgjp,0,0
8lbae,0,0
8oko8,0,0
8v3a4,60000,9999999
8vv2p,0,0
8te5j,0,0
477n9,0,0
6cmoy,0,0
82ow9,60000,9999999
73am4,0,0
8mx4c,43000,9999999
8lrzp,0,0
8v8bf,60000,9999999
84ozd,0,0
8v4qf,0,0
8qluu,0,0
8f6tx,0,0
8v0md,0,0
85lsy,0,0
8syby,0,0
8pfsd,0,0
7mof7,0,0
5o7vg,0,0
7ic9x,0,0
8qef4,0,0
6vncx,0,0
7trsb,0,0
8s80o,0,0
8kzkg,80000,9999999
7befx,36230,9999999
83q2e,0,0
8t3oy,0,0
8vsn9,115384,9999999
8tyah,0,0
7bqjo,0,0
8utb8,0,0
7u6ny,0,0
8uert,0,0
8t1cx,0,0
6nfj4,0,0
8jm2q,0,0
8uxvj,0,0
8n9di,0,0
8ta3u,0,0
8p6el,0,0
8v92t,0,0
8tm23,0,0
8qpsc,0,0
7hzhp,30000,9999999
7k1tw,0,0
8r19c,0,0
7ovi4,0,0
87nyk,0,0
6omzw,0,0
8e0qu,0,0
