_id,salaryMin,salaryMax
7ize1,90000,150000
8n0gu,84615,100000
7wceb,43000,51000
7x79r,40000,60000
8n0gm,53846,69230
8i1od,50000,70000
8ca4p,40000,55000
839w9,45000,70000
7ebh4,35000,50000
7csnw,35000,45000
8osoz,40000,55000
8i1yr,76923,123076
8i0ux,36000,60000
6vdrl,60000,100000
8vo1v,36000,40000
7wutt,36000,53000
8bj3i,36000,53000
8u1ur,45000,80000
8vdth,38000,60000
80bmw,55000,75000
7izdv,50000,80000
8p1gz,40000,60000
81za3,42307,92307
4u9yz,40000,90000
6k2x6,39000,50000
8ix5r,76923,115384
81z9y,42307,92307
7bdre,35000,55000
8o98o,50000,120000
7gsl1,69230,115384
8cx69,115384,153846
7wutg,36000,53000
7ez67,35000,70000
7mgua,38000,50000
8qlik,153846,230769
8qlbk,123076,192307
7fxhq,33076,53846
8cxgu,115384,153846
73510,53846,100000
8qxu5,70000,100000
8lqxs,123076,169230
8cxkj,123076,184615
8sowq,123076,169230
7osnc,36000,60000
8cx70,92307,192307
8tft1,90000,130000
8cxit,123076,184615
8squ9,84615,153846
8cy5z,123076,184615
8v9e6,53846,92307
8p2aa,50000,120000
8p2a1,50000,120000
78pf4,40000,65000
8t66i,50000,70000
8qvzq,60000,120000
8ekil,55000,75000
8v4qb,70000,100000
1yf7o,35000,75000
8ugrj,40000,100000
8fvv9,60000,90000
6k5nz,62162,111485
8p29j,50000,120000
49ko5,62162,89611
8k2no,40000,100000
6cpmh,34000,40000
8p29x,50000,120000
8u985,40000,100000
8lrxp,55000,95000
893g3,40000,50000
8w4ol,65000,65000
7c52x,35000,60000
7p7cw,50000,90000
7m03d,35000,100000
8cy3h,92307,153846
8cxjq,92307,184615
6v4vg,28590,28590
72jad,33000,35000
8i9vo,28590,30000
89olt,90000,130000
8ug1s,100000,138461
8t66m,50000,80000
8mn25,69230,84615
8iz0g,40000,80000
8soya,61538,92307
7ibvb,50000,100000
6f7w2,138461,200000
8aama,84615,115384
7dspd,50000,75000
8t3a2,50000,65000
7dspg,75000,100000
8ft9t,35000,40000
7umaj,70000,90000
8tihn,123076,176923
8tt8t,92307,123076
6ojg2,60000,100000
7fcwq,38461,153846
8u8ol,50000,65000
7fcwk,38461,153846
8sses,65384,84615
8tihp,92307,123076
76lsw,45000,90000
5v1d7,38461,153846
885yd,69230,92307
8jf53,61538,107692
8943y,45000,120000
7at7v,50000,75000
7f9ff,30000,60000
8rc7d,84615,153846
8ixn5,33000,38000
89ndh,84615,153846
8w6pa,40000,65000
7eby6,33000,60000
8rt88,50000,54000
87ia5,58500,64500
87ijv,68500,80500
8tj0e,69230,123076
8rsd9,35000,45000
8v2q1,42300,70000
8v0kz,30000,33000
68tpe,40000,90000
8tuir,35000,50000
7gotd,92307,107692
5giyy,41000,57000
7u32j,41000,57000
