_id,salaryMin,salaryMax
8uzq4,45000,9999999
8nwo9,0,0
8v203,0,0
6yfn5,0,0
8n88p,0,0
8nmw0,65000,9999999
8ik9c,0,0
8q64j,50000,9999999
77phe,0,0
6vazb,0,0
8w0w8,0,0
87ua3,0,0
8w1fo,0,0
8tlno,76923,9999999
8r9w4,0,0
695ve,0,0
77ymq,0,0
8vh1r,0,0
81xrd,0,0
7olfm,45000,9999999
8ve8h,0,0
7lngy,0,0
8qehr,0,0
8u7tu,0,0
8he09,0,0
79dy9,0,0
8urkt,0,0
87e35,0,0
8vznu,0,0
8pu3e,0,0
6det4,0,0
8orec,0,0
7m6kb,60000,9999999
8o1vp,0,0
8srbt,0,0
8thk7,0,0
8thmj,0,0
8tfqn,0,0
8w28h,0,0
6s64x,0,0
8vo9k,0,0
8u9za,0,0
8i9lj,0,0
8vtso,0,0
8ul7d,40000,9999999
8ntrt,0,0
8o1vj,0,0
77in7,80000,9999999
8kzwi,0,0
8vkm5,0,0
8cdue,0,0
8qhwv,0,0
87w78,0,0
8vgmu,0,0
8v85t,0,0
8kgx8,0,0
8j3s8,0,0
89a38,0,0
8vhlk,0,0
8vzq3,0,0
8vsla,0,0
6xtfl,0,0
86auy,0,0
7evi2,0,0
4ftgq,0,0
8sbho,61538,9999999
8viql,0,0
8vruy,0,0
8kg3e,0,0
8vbn8,36300,9999999
5cdpt,0,0
7dpwf,0,0
8qvjh,60000,9999999
80g1d,0,0
7f52h,0,0
86aui,0,0
7hf8u,0,0
76wdy,0,0
889qn,0,0
86m48,0,0
3omui,0,0
73am4,0,0
8lrzp,0,0
8syby,0,0
7mof7,0,0
8tyah,0,0
8p6el,0,0
8e0qu,0,0
8tdh6,0,0
7gu74,0,0
8vydf,0,0
8tpdm,0,0
8l3ub,0,0
7vwye,0,0
87p9z,0,0
8vt1f,38000,9999999
7xeh1,0,0
8jl93,0,0
85yiu,0,0
6fpnp,0,0
8vfc7,0,0
8t66j,70000,9999999
8n5yu,0,0
8tfmd,69230,9999999
8va1d,0,0
4blpk,0,0
6dcfl,0,0
8kn2x,0,0
7bedq,0,0
8tbys,0,0
8qjqu,0,0
8v8ak,60957,9999999
8rady,0,0
72ycg,0,0
8brcs,0,0
8si2o,90000,9999999
8vdvc,0,0
8l3p1,0,0
8k4kp,0,0
7olnj,45000,9999999
8q6g9,0,0
8j7pd,69230,9999999
8mx4q,43000,9999999
7krs7,0,0
8n951,0,0
8ti6d,0,0
6xnq0,0,0
7n2l7,153846,9999999
8q23n,0,0
8tpyz,0,0
8trsy,0,0
8q6w2,0,0
8cy5n,107692,9999999
88tmi,45000,9999999
8tyj2,0,0
7v0e3,0,0
7ihuk,0,0
8relc,0,0
8jvge,0,0
8usc3,0,0
8w1vp,0,0
8te5p,0,0
8cmdl,0,0
8ryui,0,0
8n58n,0,0
84xyg,0,0
8phhn,0,0
8tymj,0,0
81zdc,0,0
83d0r,0,0
37tef,0,0
8v996,0,0
8ukbm,0,0
8p8r6,0,0
8ikwv,0,0
8rkm8,0,0
7g1tw,0,0
8s3nl,0,0
8lxd2,0,0
8p7ye,0,0
74xkx,0,0
7u8qk,70000,9999999
885y2,0,0
8k6xg,0,0
8ppdw,0,0
8tony,0,0
8opms,44000,9999999
7bdqr,0,0
8qbni,0,0
79xm7,0,0
8lttn,0,0
8a399,0,0
86d2k,0,0
8pi2u,0,0
8dbr3,0,0
8msz8,0,0
8t6vw,0,0
7gnzs,0,0
7pv3l,0,0
8s7c8,0,0
7xwf5,39000,9999999
8904l,0,0
85jia,0,0
7rzpi,0,0
6ne1i,0,0
83q03,35000,9999999
8v5bc,0,0
89ofn,0,0
6shtp,0,0
8pr4c,0,0
7dbtt,0,0
6xiif,0,0
7x4u0,0,0
8vfbp,0,0
8vms5,0,0
8qbnl,0,0
88y3w,56000,9999999
87w7s,0,0
8rh44,0,0
7xlmi,0,0
87176,0,0
8a39h,0,0
8nyuz,0,0
8b6z0,35000,9999999
8ae3g,0,0
7f8rb,0,0
8vo0n,0,0
87kgr,0,0
8v0ke,0,0
8708t,0,0
8jisv,0,0
8vf5u,0,0
8w18m,0,0
7kabt,0,0
8ve5q,0,0
8o5i2,0,0
87w15,0,0
8hjx1,0,0
8nbzv,0,0
8b6h3,0,0
8ppdi,0,0
6s193,0,0
6yjxf,0,0
8rnbr,0,0
8hztb,0,0
89kkk,0,0
7zy22,0,0
8q5sd,0,0
86z76,0,0
8lops,0,0
4owz9,0,0
8p4jy,0,0
6jd84,0,0
87vo6,0,0
7z3gu,0,0
68x6w,0,0
8tk1g,0,0
8n911,44000,9999999
8ls5g,0,0
8u93b,0,0
84ajs,0,0
8uhg9,0,0
82r7e,0,0
6y1ic,0,0
8urv6,0,0
8eirr,0,0
8da01,0,0
8qln9,0,0
