_id,salaryMin,salaryMax
7ize1,90000,150000
8n0gu,84615,100000
7wceb,43000,51000
7x79r,40000,60000
8n0gm,53846,69230
8i1od,50000,70000
8ca4p,40000,55000
839w9,45000,70000
7ebh4,35000,50000
7csnw,35000,45000
8osoz,40000,55000
8i1yr,76923,123076
8i0ux,36000,60000
6vdrl,60000,100000
8vo1v,36000,40000
7wutt,36000,53000
8bj3i,36000,53000
8u1ur,45000,80000
8vdth,38000,60000
80bmw,55000,75000
7izdv,50000,80000
8er93,61538,115384
8p1gz,40000,60000
81za3,42307,92307
4u9yz,40000,90000
7rqvi,40000,40000
86nbr,76923,138461
6l4ie,72307,130769
8ix5r,76923,115384
8dun1,80000,200000
8o98o,50000,120000
7gsl1,69230,115384
8mvrc,42000,80000
8teog,69230,100000
6sfcs,76923,138461
6liq7,61538,130769
8cx69,115384,153846
8rmhd,76923,100000
7wutg,36000,53000
8qlik,153846,230769
8qlbk,123076,192307
8cxgu,115384,153846
8uzzn,72307,130769
7k2f8,62162,154348
8qxu5,70000,100000
8o11z,107692,230769
7segs,115384,230769
8lqxs,123076,169230
7rkad,76923,138461
87usz,50000,100000
8cxkj,123076,184615
8vzpp,60000,100000
8vu1g,70000,120000
7d37i,35000,50000
8sowq,123076,169230
8cx70,92307,192307
7ddsp,60000,90000
8tft1,90000,130000
8cxit,123076,184615
8squ9,84615,153846
8mqp8,85000,100000
8cy5z,123076,184615
7etdk,80000,153846
86tlg,65000,75000
8pd3u,61538,153846
7iwi8,38461,46153
8usfi,60000,85000
8g8q3,57692,92307
8sezr,76923,107692
8v8t9,53846,92307
8ojcg,61538,76923
8v9e6,53846,92307
7i34x,60000,85000
8p2aa,50000,120000
8p2a1,50000,120000
78pf4,40000,65000
8t66i,50000,70000
8qvzq,60000,120000
8ekil,55000,75000
8v4qb,70000,100000
8w6ho,35000,45000
8uel7,107692,169230
8ugrj,40000,100000
8vqy2,107692,169230
8uj00,61538,115384
8fvv9,60000,90000
8vqzm,107692,169230
8t0i5,46153,115384
8swgp,46153,115384
8jygz,50000,70000
5bdsg,61538,138461
8r4ks,80000,88000
7p7cw,50000,90000
6e6r8,100000,150000
8cy3h,92307,153846
8pwyo,76923,92307
8pwzb,76923,92307
8q1t4,76923,115384
83ojx,75000,120000
88t8t,60000,100000
87j13,85000,150000
8ipyv,50000,70000
8q544,70000,150000
8cxjq,92307,184615
8gcgt,61538,153846
7mx7g,76923,130769
72r0i,55000,85000
8mz3e,45000,100000
89olt,90000,130000
8ojch,76923,115384
83wqg,46153,92307
8ug1s,100000,138461
8tglm,56923,88461
7yyv3,76923,115384
83xpq,42307,69230
82txu,76923,115384
8kgis,60000,120000
8vqv0,46153,92307
8kpq5,65000,80000
59at4,61538,84615
8p29d,50000,80000
8ucyb,45000,75000
8pfub,42307,60000
823wf,76923,153846
81z9t,50000,92307
8vnuu,40000,60000
4cqqc,70000,100000
8t66m,50000,80000
7ds5k,40000,80000
81d8t,92307,138461
8mn25,69230,84615
8od2l,76923,115384
8p45q,40000,60000
8gclj,92307,207692
8v3jl,90000,140000
796uv,55384,71076
52mgi,50000,80000
6g0ga,42000,100000
8v97t,70000,100000
8ucy6,40000,65000
8v0t6,50000,60000
86yd2,85000,150000
8iz0g,40000,80000
7hvx5,50000,90000
8rbxn,50000,75000
4qswu,45000,80000
8ucye,40000,85000
8soya,61538,92307
7ibvb,50000,100000
85b8d,50000,80000
8kafo,63076,123076
7lowe,61538,92307
7kxuy,70000,95000
6f7w2,138461,200000
8txvf,115384,153846
7menh,110000,150000
8aama,84615,115384
7dspd,50000,75000
8t3a2,50000,65000
7dspg,75000,100000
8u43x,60000,65000
8ljhz,40000,90000
8mu2y,61538,123076
