_id,salaryMin,salaryMax
8uzq4,45000,9999999
8vsve,0,0
8nwo9,0,0
8v203,0,0
6yfn5,0,0
8n88p,0,0
8nmw0,65000,9999999
8ik9c,0,0
8q64j,50000,9999999
77phe,0,0
6vazb,0,0
8w0w8,0,0
87ua3,0,0
8w1fo,0,0
8tlno,76923,9999999
8r9w4,0,0
695ve,0,0
77ymq,0,0
8vh1r,0,0
81xrd,0,0
7olfm,45000,9999999
8ve8h,0,0
7lngy,0,0
8qehr,0,0
8u7tu,0,0
8he09,0,0
79dy9,0,0
8urkt,0,0
87e35,0,0
8vznu,0,0
8pu3e,0,0
6det4,0,0
8orec,0,0
7m6kb,60000,9999999
8o1vp,0,0
8srbt,0,0
8thk7,0,0
8thmj,0,0
8tfqn,0,0
8w28h,0,0
6s64x,0,0
8vo9k,0,0
8u9za,0,0
8i9lj,0,0
8vtso,0,0
8ul7d,40000,9999999
8ntrt,0,0
8o1vj,0,0
77in7,80000,9999999
8kzwi,0,0
8vkm5,0,0
8cdue,0,0
8qhwv,0,0
87w78,0,0
8vgmu,0,0
8v85t,0,0
8kgx8,0,0
8j3s8,0,0
89a38,0,0
8vhlk,0,0
8vzq3,0,0
8vsla,0,0
8vsus,61425,9999999
6xtfl,0,0
7evi2,0,0
4ftgq,0,0
8vruy,0,0
8kg3e,0,0
7dpwf,0,0
73nm5,0,0
8qvjh,60000,9999999
7sx7j,0,0
86aui,0,0
8o4g1,0,0
7hf8u,0,0
7adje,0,0
889qn,0,0
86m48,0,0
3omui,0,0
73am4,0,0
8lrzp,0,0
8syby,0,0
7mof7,0,0
8tyah,0,0
8t1cx,0,0
8p6el,0,0
7k1tw,0,0
8e0qu,0,0
8m01b,0,0
7gu74,0,0
8761y,45000,9999999
8vydf,0,0
8jsbj,0,0
8l3ub,0,0
8q8wq,0,0
87p9z,0,0
81x0z,0,0
8vt1f,38000,9999999
7zlep,0,0
7xeh1,0,0
8jl93,0,0
8vfc7,0,0
8t66j,70000,9999999
8bjdd,0,0
8va1d,0,0
4blpk,0,0
6dcfl,0,0
8tbys,0,0
8qjqu,0,0
8v8ak,60957,9999999
8rady,0,0
8brcs,0,0
8si2o,90000,9999999
8vdvc,0,0
7e88o,0,0
8l3p1,0,0
7olnj,45000,9999999
8q6g9,0,0
7e118,0,0
7krs7,0,0
7ll1d,60000,9999999
8ti6d,0,0
7n2l7,153846,9999999
8tpyz,0,0
8trsy,0,0
8cy5n,107692,9999999
88tmi,45000,9999999
8tyj2,0,0
7v0e3,0,0
7ihuk,0,0
8relc,0,0
8jvge,0,0
8usc3,0,0
8te5p,0,0
8cmdl,0,0
8ryui,0,0
8n58n,0,0
84xyg,0,0
8phhn,0,0
81zdc,0,0
83d0r,0,0
37tef,0,0
8v996,0,0
8p8r6,0,0
8ikwv,0,0
8rkm8,0,0
7g1tw,0,0
8lxd2,0,0
8p7ye,0,0
74xkx,0,0
7u8qk,70000,9999999
8k6xg,0,0
8ppdw,0,0
8tony,0,0
7bdqr,0,0
8qbni,0,0
79xm7,0,0
8lttn,0,0
8r4f8,0,0
86d2k,0,0
8dbr3,0,0
8qbnl,0,0
6yr7q,0,0
8w18m,0,0
7kabt,0,0
8o5i2,0,0
8b6h3,0,0
6yjxf,0,0
68x6w,0,0
8hfmf,0,0
8ls5g,0,0
7rle7,0,0
5r46h,0,0
8vzud,0,0
6y1ic,0,0
8qvvg,0,0
8uz8o,0,0
8tahe,0,0
8udst,0,0
8e4a0,0,0
8dhbl,0,0
8troy,0,0
8urv6,0,0
8vd14,0,0
8m40y,0,0
8a80w,0,0
8it05,0,0
8taeo,60000,9999999
5icpr,0,0
8rd09,70000,9999999
7079g,0,0
8vp9e,0,0
8k527,0,0
8um5o,0,0
8b4gc,0,0
74uqq,0,0
8a1qj,0,0
8te4c,0,0
8te3z,0,0
8eirr,0,0
7qcxb,0,0
8ugop,0,0
8przu,0,0
8u9ws,0,0
8u7ts,0,0
8tgfn,0,0
8g2d3,0,0
5bwie,0,0
8qfha,0,0
8da01,0,0
7rewd,0,0
7xtif,0,0
8vms1,0,0
7s0hd,0,0
71gfq,0,0
8r6gc,0,0
7bmis,0,0
7ryab,45000,9999999
8ukdn,0,0
8js8t,0,0
8lg11,0,0
885rr,0,0
7axnf,0,0
73f51,0,0
8qln9,0,0
8v5jr,0,0
8v8j4,0,0
8drrw,76923,9999999
8rf8o,0,0
7fmiq,0,0
8u1ef,0,0
8voqb,0,0
8vonl,0,0
8vmru,0,0
8mv55,0,0
8g1qh,0,0
8vomp,0,0
8u0m2,0,0
8tw25,0,0
8qs5f,0,0
8q614,43000,9999999
8qs4r,0,0
8qs57,0,0
8u18e,0,0
7avjr,0,0
8vw29,0,0
8vqx4,0,0
81unx,0,0
8ltp3,0,0
8rb5y,0,0
8dbqn,0,0
8t9j8,900000,9999999
8w0dc,0,0
8t7ol,0,0
7vm6m,0,0
8re3s,0,0
8uijg,0,0
8ikjk,100000,9999999
8jn9a,0,0
6txcg,0,0
8vms3,0,0
8k4vx,0,0
8nh9r,60000,9999999
8uawx,0,0
8dbou,0,0
80c2q,0,0
7tibw,0,0
87fz6,38388,9999999
6pw99,0,0
