_id,description
8uzq4,AI
8uzq4,演算法設計
8uzq4,生成式AI
8nwo9,系統架構規劃
8nwo9,韌體工程開發
8nwo9,韌體程式設計
8v203,軟體工程系統開發
8v203,軟體程式設計
6yfn5,
8n88p,軟體程式設計
8n88p,韌體程式設計
8v2da,
8nmw0,
8ik9c,伺服器網站管理維護
8ik9c,資料庫軟體應用
8ik9c,資料庫程式設計
8ik9c,資料庫系統管理維護
8ik9c,軟體程式設計
8ik9c,軟體工程系統開發
8ik9c,系統整合分析
8ik9c,系統架構規劃
8ik9c,資訊設備環境設定
8ik9c,資料備份與復原
8q64j,
77phe,軟體程式設計
77phe,網路程式設計
6z1pf,
6vazb,軟體程式設計
6vazb,資料庫程式設計
8w0w8,資料庫系統管理維護
8w0w8,資料庫程式設計
8w0w8,資料庫軟體應用
7ize1,
87ua3,
8n0gu,軟體程式設計
8n0gu,軟體工程系統開發
8w1fo,軟體工程系統開發
8w1fo,軟體程式設計
8w1fo,資料庫程式設計
8w1fo,資料庫軟體應用
8tlno,軟體程式設計
8r9w4,
695ve,軟體程式設計
695ve,網路程式設計
695ve,資料庫程式設計
77ymq,軟體程式設計
8vh1r,
7wceb,作業系統基本操作
7wceb,電腦設備裝配
7wceb,系統架構規劃
7wceb,軟體工程系統開發
7wceb,軟體程式設計
7wceb,網路程式設計
7wceb,資料庫程式設計
81xrd,軟體程式設計
7x79r,軟體工程系統開發
7x79r,軟體程式設計
7x79r,網路程式設計
7x79r,資料庫程式設計
8n0gm,軟體程式設計
8n0gm,軟體工程系統開發
8n0gm,資料庫程式設計
8i1od,
7olfm,軟體工程系統開發
7olfm,軟體程式設計
7olfm,資料庫軟體應用
8ve8h,
8ca4p,軟體工程系統開發
8ca4p,軟體程式設計
7lngy,系統架構規劃
7lngy,系統整合分析
7lngy,軟體工程系統開發
7lngy,軟體程式設計
7lngy,網路程式設計
7lngy,資料庫系統管理維護
7lngy,資料庫程式設計
7lngy,資料庫軟體應用
8qehr,AI
8qehr,機器學習
8qehr,深度學習
8qehr,人工智慧
8qehr,語言模型
8qehr,生成式AI
8qehr,軟體工程系統開發
8u7tu,系統整合分析
8u7tu,軟體工程系統開發
8u7tu,軟體程式設計
8u7tu,資料庫程式設計
8he09,功能測試(function test)
8he09,使用者測試(Usability test)
8he09,問題追蹤處理(Bug tracking)
8he09,軟體整合測試
8he09,壓力測試(stress test)
8he09,測試計劃及測試報告書撰寫
839w9,軟體程式設計
839w9,資料庫程式設計
79dy9,系統整合分析
79dy9,軟體工程系統開發
79dy9,軟體程式設計
79dy9,資料庫程式設計
7ebh4,軟體程式設計
7ebh4,軟體工程系統開發
7ebh4,資料庫程式設計
7ebh4,系統整合分析
7ebh4,結構化程式設計
7ebh4,模組化系統設計
7ebh4,系統架構規劃
7ebh4,資料庫軟體應用
7ebh4,軟體整合測試
7ebh4,功能測試(function test)
7ebh4,測試環境建置規劃
8urkt,
87e35,軟體工程系統開發
87e35,軟體程式設計
87e35,網路程式設計
87e35,資料庫系統管理維護
87e35,資料庫程式設計
7csnw,
8vznu,軟體程式設計
8pu3e,
8osoz,
8i1yr,
6det4,軟體工程系統開發
6det4,軟體品質與保證
6det4,軟體程式設計
6det4,Machine Learning
6det4,資料庫軟體應用
8orec,
8i0ux,軟體工程系統開發
8i0ux,軟體程式設計
7m6kb,
8o1vp,AI
8o1vp,軟體程式設計
8o1vp,軟體工程系統開發
8o1vp,系統整合分析
5pxb7,
6vdrl,軟體工程系統開發
6vdrl,軟體程式設計
6vdrl,網路程式設計
86b3c,期貨交易與證券分析
86b3c,軟體工程系統開發
86b3c,軟體程式設計
8srbt,軟體整合測試
8srbt,測試計劃及測試報告書撰寫
8srbt,軟體程式設計
8srbt,結構化程式設計
8srbt,資料庫程式設計
8thk7,
8thmj,
8tfqn,
8w28h,軟體工程系統開發
8w28h,軟體程式設計
6s64x,
8vo1v,
8vo9k,
8u9za,軟體工程系統開發
8u9za,軟體程式設計
8u9za,網路程式設計
8i9lj,軟體程式設計
8vtso,Machine Learning
8vtso,AI
8ul7d,
7wutt,
8ntrt,
8o1vj,自然語言處理
8o1vj,機器學習
8o1vj,系統架構規劃
8o1vj,AI
8o1vj,深度學習
8o1vj,模組化系統設計
8o1vj,軟體工程系統開發
8o1vj,資料庫軟體應用
77in7,軟體程式設計
77in7,網路程式設計
8kzwi,軟體工程系統開發
8kzwi,軟體程式設計
8vkm5,軟體程式設計
8vkm5,軟體工程系統開發
8vkm5,模組化系統設計
8vkm5,系統架構規劃
8vkm5,結構化程式設計
8bj3i,
8cdue,軟體工程系統開發
8cdue,軟體程式設計
8cdue,網路程式設計
8cdue,資料庫程式設計
8cdue,資料庫軟體應用
8qhwv,軟體程式設計
87w78,
8vgmu,
8v85t,軟體工程系統開發
8v85t,軟體程式設計
8v85t,資料庫程式設計
8v85t,資料庫軟體應用
8v85t,資料庫系統管理維護
8v85t,系統架構規劃
8va6s,AI
8u1ur,
8vdth,軟體程式設計
8vdth,資料庫程式設計
8vdth,系統架構規劃
8kgx8,
80bmw,軟體工程系統開發
80bmw,軟體程式設計
8j3s8,
7izdv,
8tgvu,期貨交易與證券分析
8tgvu,軟體工程系統開發
8tgvu,軟體程式設計
89a38,系統架構規劃
89a38,軟體程式設計
8vhlk,
8p1gz,
6xtfl,
7evi2,系統架構規劃
7evi2,軟體程式設計
7evi2,資料庫程式設計
8qvjh,
8o98o,
7wutg,
